,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.06561799049377441,0.020712463659330493,0.0031267642974853516,0.006253528594970703,10.0,"(6,)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,)}",0.6632653061224489,0.6661807580174927,0.6137026239067055,0.6627737226277373,0.6656934306569343,0.6543173862310385,0.020357815112703747,116,0.661925601750547,0.6637490882567469,0.6458789204959884,0.6613197229310973,0.6594969012030624,0.6584740469274883,0.006442369196716546
1,0.05625638961791992,0.007649072290567858,0.0,0.0,10.0,"(6, 6)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6)}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6656934306569343,0.6656934306569343,0.6651108518086347,0.0004753268104143264,98,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6649653663871673,0.6649653663871673,0.665110873031891,0.00011880567791913259
2,0.16873250007629395,0.04119263111149596,0.0,0.0,10.0,"(6, 6, 6)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6)}",0.6632653061224489,0.6253644314868805,0.6647230320699709,0.6642335766423357,0.6583941605839416,0.6551925320886814,0.015087983329052073,115,0.6626549963530269,0.6473377097009482,0.6644784828592268,0.6649653663871673,0.6598614655486693,0.6598596041698077,0.0065117572156795965
3,0.1656358242034912,0.03902703584710222,0.003118753433227539,0.006237506866455078,10.0,"(12,)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (12,)}",0.6836734693877551,0.6895043731778425,0.6676384839650146,0.6744525547445256,0.6554744525547446,0.6741540256709452,0.01198023795074749,94,0.6819839533187454,0.6834427425237053,0.6918307804522247,0.6828290193219103,0.6507473569084944,0.678166770505016,0.014161022132745841
4,0.1812434196472168,0.060581308418356974,0.0,0.0,10.0,"(12, 12)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (12, 12)}",0.7011661807580175,0.6559766763848397,0.6690962099125365,0.691970802919708,0.67007299270073,0.6776546091015169,0.01648524815601096,91,0.6794310722100656,0.687454412837345,0.6903719912472648,0.6842872767043383,0.6930368209989063,0.686916314799584,0.004746209925307427
5,0.13751440048217772,0.01822824735718848,0.0,0.0,10.0,"(12, 12, 12)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (12, 12, 12)}",0.6690962099125365,0.6472303206997084,0.6239067055393586,0.6321167883211679,0.6715328467153284,0.6487747957992999,0.019126381295166816,117,0.6714077315827863,0.6542669584245077,0.6272793581327498,0.6591323368574553,0.6478308421436384,0.6519834454282275,0.014568184622848621
6,0.12187433242797852,0.015297702849014837,0.003119659423828125,0.00623931884765625,10.0,"(18,)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18,)}",0.6749271137026239,0.6749271137026239,0.6603498542274052,0.6773722627737226,0.6846715328467153,0.6744457409568262,0.007903239841602648,93,0.6768781911013858,0.6728665207877462,0.6805251641137856,0.6762668611009843,0.6722566532993073,0.6757586780806418,0.002995319677959765
7,0.1562486171722412,0.05763251106950656,0.0,0.0,10.0,"(18, 18)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18)}",0.6690962099125365,0.6676384839650146,0.6647230320699709,0.6627737226277373,0.656934306569343,0.6642357059509918,0.004262883161544038,112,0.6725018234865062,0.6768781911013858,0.6728665207877462,0.6616842872767044,0.6605905942398833,0.6689042833784452,0.006534073695521636
8,0.09064154624938965,0.011703166967669409,0.0,0.0,10.0,"(18, 18, 18)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18, 18)}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6656934306569343,0.6656934306569343,0.6651108518086347,0.0004753268104143264,98,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6649653663871673,0.6649653663871673,0.665110873031891,0.00011880567791913259
9,0.06251106262207032,0.009878282264714669,0.003126382827758789,0.006252765655517578,3.1622776601683795,"(6,)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (6,)}",0.6647230320699709,0.6661807580174927,0.6282798833819242,0.6598540145985401,0.67007299270073,0.6578179696616102,0.015132007974187449,114,0.6626549963530269,0.6637490882567469,0.650984682713348,0.6591323368574553,0.6554866934013853,0.6584015595163926,0.004705918189988505
10,0.06248297691345215,0.01707554762711404,0.0,0.0,3.1622776601683795,"(6, 6)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (6, 6)}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6656934306569343,0.6656934306569343,0.6651108518086347,0.0004753268104143264,98,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6649653663871673,0.6649653663871673,0.665110873031891,0.00011880567791913259
11,0.27187333106994627,0.1290731779778697,0.003129720687866211,0.006259441375732422,3.1622776601683795,"(6, 6, 6)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (6, 6, 6)}",0.6763848396501457,0.6253644314868805,0.6778425655976676,0.67007299270073,0.7007299270072993,0.6700700116686115,0.024654860981348798,96,0.6728665207877462,0.649890590809628,0.6911013858497447,0.7047028800583303,0.7039737513671163,0.6845070257745132,0.020804376685581143
12,0.12812185287475586,0.006252791988233281,0.0,0.0,3.1622776601683795,"(12,)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (12,)}",0.7011661807580175,0.6982507288629738,0.6763848396501457,0.6846715328467153,0.6715328467153284,0.6864060676779463,0.01168652715881219,70,0.6940189642596645,0.6921954777534646,0.6921954777534646,0.6853809697411594,0.6846518410499454,0.6896885461115396,0.0038793181338045916
13,0.1468717098236084,0.021195294814114796,0.0,0.0,3.1622776601683795,"(12, 12)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (12, 12)}",0.7055393586005831,0.6924198250728864,0.6909620991253644,0.6773722627737226,0.6948905109489051,0.6922403733955659,0.009016847461122154,58,0.6921954777534646,0.7056892778993435,0.7027716994894238,0.6810061975938754,0.7010572366022603,0.6965439778676735,0.008979115800040767
14,0.29686660766601564,0.02614158098347881,0.0,0.0,3.1622776601683795,"(12, 12, 12)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (12, 12, 12)}",0.7288629737609329,0.706997084548105,0.6997084548104956,0.6905109489051094,0.6963503649635037,0.7044924154025671,0.013304078978168427,42,0.7045951859956237,0.7107950401167031,0.7056892778993435,0.7156398104265402,0.7119941669704702,0.7097426962817363,0.004095840958201928
15,0.10938267707824707,0.03827966589378352,0.003121089935302734,0.0062421798706054675,3.1622776601683795,"(18,)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (18,)}",0.6690962099125365,0.6938775510204082,0.6997084548104956,0.6642335766423357,0.6861313868613139,0.6826137689614936,0.013799095777621293,87,0.6808898614150255,0.700948212983224,0.7133479212253829,0.6627779803135253,0.6737149106817353,0.6863357773237786,0.018368958973878524
16,0.19687466621398925,0.04025443866572989,0.0,0.0,3.1622776601683795,"(18, 18)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (18, 18)}",0.673469387755102,0.717201166180758,0.6895043731778425,0.7182481751824817,0.708029197080292,0.7012835472578763,0.017317262135841376,44,0.6728665207877462,0.7137126185266229,0.7312180889861415,0.7218374043018593,0.7287641268683923,0.7136797518941524,0.021295069113206146
17,0.3906424522399902,0.05589771726197195,0.003118896484375,0.00623779296875,3.1622776601683795,"(18, 18, 18)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (18, 18, 18)}",0.7448979591836735,0.7288629737609329,0.7011661807580175,0.7328467153284671,0.7124087591240876,0.7240373395565928,0.015458056094608052,10,0.7166301969365426,0.7319474835886215,0.7443471918307805,0.7386073641997812,0.7397010572366023,0.7342466587584656,0.009658290911274557
18,0.09375076293945313,0.05588269450180343,0.0,0.0,1.0,"(6,)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (6,)}",0.6661807580174927,0.706997084548105,0.6137026239067055,0.6613138686131387,0.67007299270073,0.6636522753792299,0.029763540735504974,113,0.6626549963530269,0.7188183807439825,0.650984682713348,0.6602260298942764,0.6580386438206344,0.6701445467050536,0.02464656460068241
19,0.056243610382080075,0.00763631489889334,0.0,0.0,1.0,"(6, 6)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (6, 6)}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6656934306569343,0.6656934306569343,0.6651108518086347,0.0004753268104143264,98,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6649653663871673,0.6649653663871673,0.665110873031891,0.00011880567791913259
20,0.18751249313354493,0.05676562682087448,0.0031236648559570313,0.006247329711914063,1.0,"(6, 6, 6)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (6, 6, 6)}",0.7011661807580175,0.6676384839650146,0.6807580174927114,0.6671532846715329,0.6335766423357664,0.6700700116686115,0.022031124129820594,96,0.6819839533187454,0.6885485047410649,0.6907366885485048,0.6861100984323734,0.6215822092599343,0.6737922908601246,0.026266262768210816
21,0.14687519073486327,0.025386606009522587,0.0,0.0,1.0,"(12,)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (12,)}",0.7405247813411079,0.7026239067055393,0.6953352769679301,0.6773722627737226,0.656934306569343,0.6945740956826137,0.027890042523896236,48,0.7133479212253829,0.6900072939460248,0.7042304886943836,0.6791833758658403,0.6817353262850894,0.6937008812033442,0.013148793618401681
