,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.8816266536712647,1.0972341430030779,0.10958924293518066,0.012354055931387421,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 1}",0.6763848396501457,0.6224489795918368,0.6399416909620991,0.6204379562043796,0.6875912408759124,0.6493582263710619,0.02771371898018927,1245,0.650984682713348,0.6385849744711889,0.6601021152443471,0.6347065257017863,0.6591323368574553,0.6487021269976252,0.010413382747370213
1,0.3907794952392578,0.02233552139164243,0.10008935928344727,0.00022066328722155634,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 2}",0.673469387755102,0.6720116618075802,0.6501457725947521,0.6656934306569343,0.6715328467153284,0.6665694282380397,0.008631881661050198,1050,0.6695842450765864,0.6735959153902261,0.6783369803063457,0.6664236237695953,0.6656944950783813,0.670727051924227,0.004717913041743769
2,0.326247501373291,0.018398511424678264,0.11062040328979492,0.008722035014166764,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 3}",0.32653061224489793,0.32798833819241985,0.3236151603498542,0.3197080291970803,0.33284671532846716,0.32613768961493583,0.004386894844259191,1276,0.3267687819110139,0.3264040846097739,0.32859226841721373,0.32810791104629966,0.32737878235508566,0.3274503656678774,0.000812489071245021
3,0.457701587677002,0.035231716005901054,0.11174583435058594,0.009184569530535588,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 4}",0.6997084548104956,0.6822157434402333,0.685131195335277,0.6583941605839416,0.621897810218978,0.6694865810968494,0.027227047895650124,981,0.6889132020423049,0.6801604668125456,0.674325309992706,0.6529347429821364,0.6543930003645644,0.6701453444388514,0.014243232874257125
4,0.31647214889526365,0.009756642870273504,0.10958237648010254,0.0076744534130947055,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 5}",0.6647230320699709,0.6647230320699709,0.6647230320699709,0.6656934306569343,0.6656934306569343,0.6651108518086347,0.0004753268104143264,1090,0.6652078774617067,0.6652078774617067,0.6652078774617067,0.6649653663871673,0.6649653663871673,0.665110873031891,0.00011880567791913259
5,0.4096060752868652,0.017834721292146045,0.1024519920349121,0.006937340019248968,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 6}",0.6632653061224489,0.6690962099125365,0.6632653061224489,0.6671532846715329,0.6627737226277373,0.6651108518086347,0.0025429774649074967,1090,0.6644784828592268,0.6608315098468271,0.6633843909555069,0.6649653663871673,0.6653299307327744,0.6637979361563004,0.0016213419888343116
6,0.38429818153381345,0.014950160502991408,0.10631189346313477,0.007670101661786024,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 7}",0.7040816326530612,0.6938775510204082,0.6705539358600583,0.6788321167883211,0.6992700729927007,0.6893232205367561,0.012649139404728872,747,0.6943836615609045,0.7031363967906638,0.6900072939460248,0.6970470288005833,0.7003281079110463,0.6969804978018445,0.00457110802004607
7,0.36385183334350585,0.025466582633704736,0.10769944190979004,0.00946813520678575,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 8}",0.6909620991253644,0.6661807580174927,0.6807580174927114,0.6744525547445256,0.6773722627737226,0.6779463243873979,0.008104983398278984,881,0.6757840991976659,0.6823486506199854,0.6787016776075857,0.6853809697411594,0.6638716733503464,0.6772174141033486,0.007420774283813059
8,0.36905727386474607,0.014359966559910746,0.10945897102355957,0.007717120957377623,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 9}",0.7186588921282799,0.6982507288629738,0.6822157434402333,0.6832116788321168,0.6773722627737226,0.691948658109685,0.015079326019143151,707,0.6929248723559446,0.6969365426695843,0.6954777534646244,0.6923076923076923,0.7003281079110463,0.6955949937417782,0.002903507102840985
9,0.36703052520751955,0.010506206961037405,0.10693244934082032,0.008190406913208803,10.0,"(6,)",10,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'filter__n': 10}",0.706997084548105,0.6749271137026239,0.7084548104956269,0.6452554744525547,0.691970802919708,0.6855309218203034,0.023501108276445103,805,0.6659372720641867,0.6983953318745442,0.6896425966447848,0.6675173168064163,0.6868392271235874,0.6816663489027038,0.012789347409911224
