,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.01844000816345215,0.004296905020760824,0.00010004043579101563,0.0002000808715820313,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 1}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,789,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
1,0.021061134338378907,0.00678220705013085,0.0,0.0,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 2}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,789,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
2,0.020061016082763672,0.006134953883082507,0.0,0.0,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 3}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,789,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
3,0.020069646835327148,0.006157503136758975,0.0,0.0,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 4}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,789,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
4,0.013985157012939453,0.006645501275967212,0.00010709762573242187,0.00021419525146484374,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 5}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,278,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
5,0.01615281105041504,0.0010636030239274863,0.0,0.0,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 6}",0.6923076923076923,0.1794871794871795,0.782051282051282,0.7922077922077922,0.7763157894736842,0.6434108527131783,0.2358149795942733,233,0.7669902912621359,0.24919093851132687,0.7443365695792881,0.8161290322580645,0.7459807073954984,0.6645255078012627,0.20927982227044095
6,0.01694173812866211,0.0026084520410285957,0.0,0.0,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 7}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,789,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
7,0.01643376350402832,0.001604356330913609,0.003325080871582031,0.006162492053407957,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 8}",0.2948717948717949,0.1794871794871795,0.23076923076923078,0.09090909090909091,0.07894736842105263,0.17571059431524547,0.08213000002943605,1041,0.21035598705501618,0.23948220064724918,0.22653721682847897,0.05806451612903226,0.06109324758842444,0.1591066336496402,0.08179210830236351
8,0.019861221313476562,0.010013711011124603,0.0,0.0,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 9}",0.6282051282051282,0.7051282051282052,0.6538461538461539,0.5454545454545454,0.5263157894736842,0.6124031007751938,0.06690739511341348,674,0.627831715210356,0.6763754045307443,0.6893203883495146,0.5129032258064516,0.5176848874598071,0.6048231242713747,0.07593583047868016
9,0.013515996932983398,0.004769942137994195,0.0,0.0,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 1}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,789,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
10,0.021488761901855467,0.005276161624626055,0.0002010822296142578,0.000246279518829182,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 2}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,278,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
11,0.017779445648193358,0.00819015692071,0.0,0.0,10.0,"(6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 3}",0.3717948717948718,0.8205128205128205,0.3717948717948718,0.8311688311688312,0.8157894736842105,0.6408268733850129,0.22114110360125191,247,0.37216828478964403,0.7508090614886731,0.37216828478964403,0.8258064516129032,0.8295819935691319,0.6301068152499993,0.21247225591929844
12,0.029429149627685548,0.013865193846616563,0.0,0.0,10.0,"(6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 4}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,278,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
13,0.027109909057617187,0.009581180396793117,0.00010046958923339843,0.00020093917846679686,10.0,"(6, 6)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 5}",0.3717948717948718,0.8205128205128205,0.3333333333333333,0.8701298701298701,0.7763157894736842,0.6330749354005168,0.2327207471746579,262,0.3851132686084142,0.8090614886731392,0.2783171521035599,0.8838709677419355,0.7717041800643086,0.6256134114382714,0.245009259235614
14,0.016464757919311523,0.008670311161342306,0.0,0.0,10.0,"(6, 6)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 6}",0.6282051282051282,0.6153846153846154,0.5256410256410257,0.6233766233766234,0.631578947368421,0.6046511627906976,0.04006745521975988,698,0.627831715210356,0.5501618122977346,0.5728155339805825,0.6290322580645161,0.6270096463022508,0.601370193171088,0.033348014552066894
15,0.023102283477783203,0.007000651555326486,0.0,0.0,10.0,"(6, 6)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 7}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,278,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
16,0.06177525520324707,0.02233520034051705,0.0,0.0,10.0,"(6, 6)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 8}",0.7948717948717948,0.8974358974358975,0.7948717948717948,0.8311688311688312,0.8157894736842105,0.8268733850129198,0.038001929221640564,39,0.8349514563106796,0.8090614886731392,0.8349514563106796,0.8258064516129032,0.8295819935691319,0.8268705692953067,0.009552476019880895
17,0.03305511474609375,0.014730420726293656,0.0034258365631103516,0.0061292072836235546,10.0,"(6, 6)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 9}",0.7307692307692307,0.8333333333333334,0.7435897435897436,0.7012987012987013,0.7631578947368421,0.7545219638242894,0.04436145511567141,95,0.7346278317152104,0.7766990291262136,0.7993527508090615,0.7419354838709677,0.7266881028938906,0.7558606396830687,0.02764626993316482
18,0.01945648193359375,0.0071673408280143215,0.00010066032409667968,0.00020132064819335937,10.0,"(6, 6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 1}",0.3717948717948718,0.3717948717948718,0.3717948717948718,0.37662337662337664,0.3684210526315789,0.37209302325581395,0.00260485190241458,789,0.37216828478964403,0.37216828478964403,0.37216828478964403,0.3709677419354839,0.3729903536977492,0.37209259000043304,0.0006462897072953789
19,0.024180078506469728,0.008866520815858304,0.0,0.0,10.0,"(6, 6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 2}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,278,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
20,0.033855628967285153,0.012186257570811855,0.0,0.0,10.0,"(6, 6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 3}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,278,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
21,0.05123581886291504,0.029108593738809647,0.0032261371612548827,0.006205663159859785,10.0,"(6, 6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 4}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,278,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
22,0.023734140396118163,0.010826834963125191,0.0003003597259521484,0.0006007194519042967,10.0,"(6, 6, 6)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 5}",0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6233766233766234,0.631578947368421,0.627906976744186,0.0026048519024145646,278,0.627831715210356,0.627831715210356,0.627831715210356,0.6290322580645161,0.6270096463022508,0.627907409999567,0.0006462897072953943
