,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.03881821632385254,0.008704201730784253,9.9945068359375e-05,0.00019989013671875,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 1}",0.34782608695652173,0.34782608695652173,0.34782608695652173,0.3463414634146341,0.3480392156862745,0.34757281553398056,0.0006192993286040435,817,0.34750911300121506,0.34750911300121506,0.34750911300121506,0.3478787878787879,0.3474576271186441,0.34757275080021544,0.00015431232219401302
1,0.02319784164428711,0.007008003343632983,0.0,0.0,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 2}",0.26570048309178745,0.32367149758454106,0.3188405797101449,0.21951219512195122,0.29411764705882354,0.28446601941747574,0.038409635266932564,980,0.26974483596597815,0.3402187120291616,0.3001215066828676,0.23636363636363636,0.3062953995157385,0.2905488181114764,0.03514407246850218
2,0.02711830139160156,0.009002760378932696,0.00010008811950683594,0.00020017623901367188,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 3}",0.4444444444444444,0.357487922705314,0.3719806763285024,0.32682926829268294,0.37254901960784315,0.37475728155339805,0.03867317668267142,711,0.4289185905224787,0.34264884568651277,0.3997569866342649,0.3563636363636364,0.39951573849878935,0.38544075954113644,0.031527791426941426
3,0.026307201385498045,0.006378218721458218,0.0,0.0,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 4}",0.4251207729468599,0.4251207729468599,0.4251207729468599,0.4292682926829268,0.4362745098039216,0.42815533980582526,0.004342198924917691,15,0.4264884568651276,0.4264884568651276,0.4264884568651276,0.4254545454545455,0.4225181598062954,0.4254876151712447,0.0015377783363821826
4,0.02731795310974121,0.0076038395533771135,0.00010023117065429687,0.00020046234130859374,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 5}",0.3719806763285024,0.2753623188405797,0.3188405797101449,0.25853658536585367,0.35294117647058826,0.3155339805825243,0.04348085789104517,957,0.36573511543134873,0.2660996354799514,0.34143377885783716,0.2703030303030303,0.33292978208232443,0.3153002684308984,0.03995719617963563
5,0.032569265365600585,0.002594473723473382,0.0,0.0,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 6}",0.42995169082125606,0.34299516908212563,0.41545893719806765,0.3853658536585366,0.4068627450980392,0.39611650485436894,0.030302718461403907,594,0.362089914945322,0.4155528554070474,0.38153098420413123,0.3490909090909091,0.4043583535108959,0.3825246034316611,0.02491567282272731
6,0.023554563522338867,0.006686700353560378,0.0,0.0,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 7}",0.3719806763285024,0.43478260869565216,0.36231884057971014,0.4,0.29411764705882354,0.37281553398058254,0.04655880172247126,744,0.3888213851761847,0.3985419198055893,0.3839611178614824,0.41454545454545455,0.3801452784503632,0.39320303116781485,0.012321683786762483
7,0.03695244789123535,0.015250569051282279,0.0,0.0,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 8}",0.3671497584541063,0.3285024154589372,0.38164251207729466,0.37073170731707317,0.29901960784313725,0.34951456310679613,0.03087506084909563,816,0.3377885783718105,0.3511543134872418,0.3839611178614824,0.3927272727272727,0.3837772397094431,0.36988170443145013,0.02141924221727721
8,0.03689794540405274,0.013791099382076627,0.0,0.0,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 9}",0.34782608695652173,0.34782608695652173,0.4057971014492754,0.36585365853658536,0.3480392156862745,0.36310679611650487,0.02250738821254765,761,0.34750911300121506,0.34750911300121506,0.4106925880923451,0.3612121212121212,0.3474576271186441,0.36287611248510815,0.02449164446796446
9,0.02134671211242676,0.0057355446312128645,0.0,0.0,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 1}",0.34782608695652173,0.34782608695652173,0.34782608695652173,0.3463414634146341,0.3480392156862745,0.34757281553398056,0.0006192993286040435,817,0.34750911300121506,0.34750911300121506,0.34750911300121506,0.3478787878787879,0.3474576271186441,0.34757275080021544,0.00015431232219401302
10,0.02320208549499512,0.009469209153199352,0.0,0.0,10.0,"(6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 2}",0.34782608695652173,0.34782608695652173,0.34782608695652173,0.3463414634146341,0.3480392156862745,0.34757281553398056,0.0006192993286040435,817,0.34750911300121506,0.34750911300121506,0.34750911300121506,0.3478787878787879,0.3474576271186441,0.34757275080021544,0.00015431232219401302
11,0.02613358497619629,0.010708896672655784,0.00019989013671875,0.00024481558073445706,10.0,"(6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 3}",0.34782608695652173,0.34782608695652173,0.34782608695652173,0.3463414634146341,0.3480392156862745,0.34757281553398056,0.0006192993286040435,817,0.34750911300121506,0.34750911300121506,0.34750911300121506,0.3478787878787879,0.3474576271186441,0.34757275080021544,0.00015431232219401302
12,0.03366231918334961,0.011838240493558961,9.9945068359375e-05,0.00019989013671875,10.0,"(6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 4}",0.40096618357487923,0.4251207729468599,0.38164251207729466,0.4,0.4264705882352941,0.40679611650485437,0.016950758813427946,530,0.4349939246658566,0.4264884568651276,0.41919805589307413,0.4109090909090909,0.4261501210653753,0.4235479298797049,0.008063380789570473
13,0.03386940956115723,0.007538028139926937,0.0,0.0,10.0,"(6, 6)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 5}",0.42028985507246375,0.42995169082125606,0.3526570048309179,0.36585365853658536,0.3382352941176471,0.38155339805825245,0.03688941062202373,690,0.4106925880923451,0.4240583232077764,0.36573511543134873,0.4024242424242424,0.4067796610169492,0.4019379860345323,0.019495017187329763
14,0.03701457977294922,0.008399988355705571,0.0,0.0,10.0,"(6, 6)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 6}",0.4251207729468599,0.4251207729468599,0.4251207729468599,0.4292682926829268,0.4264705882352941,0.4262135922330097,0.0016094382569135867,29,0.4264884568651276,0.4264884568651276,0.4264884568651276,0.4254545454545455,0.4261501210653753,0.4262140074230608,0.0004017042287733152
15,0.02596759796142578,0.008509164459064357,0.000193023681640625,0.00038604736328125,10.0,"(6, 6)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 7}",0.3719806763285024,0.41545893719806765,0.3719806763285024,0.4195121951219512,0.38235294117647056,0.39223300970873787,0.02099318020436203,622,0.402187120291616,0.39125151883353587,0.402187120291616,0.42303030303030303,0.39951573849878935,0.4036343601891721,0.010494659689631872
16,0.056456708908081056,0.020737866178059228,0.0,0.0,10.0,"(6, 6)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 8}",0.34782608695652173,0.4251207729468599,0.4251207729468599,0.4292682926829268,0.3480392156862745,0.3951456310679612,0.03850175288759264,611,0.39003645200486026,0.4264884568651276,0.4264884568651276,0.4254545454545455,0.35108958837772397,0.403911499913477,0.029887161371850778
17,0.05114655494689942,0.0032566061508071996,0.0031276702880859374,0.006255340576171875,10.0,"(6, 6)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 9}",0.4106280193236715,0.357487922705314,0.3961352657004831,0.3853658536585366,0.4411764705882353,0.39805825242718446,0.027632839035643262,567,0.38031591737545567,0.39003645200486026,0.4240583232077764,0.4072727272727273,0.423728813559322,0.4050824466840283,0.017620051909275167
18,0.02985224723815918,0.007365836639718798,0.0002984046936035156,0.0003975755047576974,10.0,"(6, 6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 1}",0.4251207729468599,0.4251207729468599,0.4251207729468599,0.4292682926829268,0.4264705882352941,0.4262135922330097,0.0016094382569135867,29,0.4264884568651276,0.4264884568651276,0.4264884568651276,0.4254545454545455,0.4261501210653753,0.4262140074230608,0.0004017042287733152
19,0.0462982177734375,0.007890667414748094,0.0,0.0,10.0,"(6, 6, 6)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 2}",0.40096618357487923,0.34782608695652173,0.4251207729468599,0.33658536585365856,0.29411764705882354,0.3611650485436893,0.04676267831914923,774,0.4349939246658566,0.34750911300121506,0.4264884568651276,0.38181818181818183,0.3062953995157385,0.3794210151732239,0.048322176917731975
20,0.05585513114929199,0.020237702625034375,0.0,0.0,10.0,"(6, 6, 6)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 3}",0.40096618357487923,0.391304347826087,0.42995169082125606,0.33658536585365856,0.4264705882352941,0.3970873786407767,0.03356112305327768,568,0.4349939246658566,0.353584447144593,0.42162818955042525,0.38181818181818183,0.4225181598062954,0.40290858059707035,0.030469997445461448
21,0.03772215843200684,0.013375326352378352,0.0,0.0,10.0,"(6, 6, 6)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 4}",0.4251207729468599,0.4251207729468599,0.4251207729468599,0.4292682926829268,0.4264705882352941,0.4262135922330097,0.0016094382569135867,29,0.4264884568651276,0.4264884568651276,0.4264884568651276,0.4254545454545455,0.4261501210653753,0.4262140074230608,0.0004017042287733152
22,0.0600771427154541,0.020071927357838137,0.0,0.0,10.0,"(6, 6, 6)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 5}",0.33816425120772947,0.34299516908212563,0.463768115942029,0.35121951219512193,0.39215686274509803,0.37766990291262137,0.047179222270324644,696,0.40583232077764275,0.39125151883353587,0.4155528554070474,0.36363636363636365,0.37409200968523004,0.39007301366796393,0.01925230335954979
23,0.03321366310119629,0.0024249121232002837,0.00019998550415039061,0.0003999710083007812,10.0,"(6, 6, 6)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 6}",0.34782608695652173,0.34782608695652173,0.34782608695652173,0.3463414634146341,0.3480392156862745,0.34757281553398056,0.0006192993286040435,817,0.34750911300121506,0.34750911300121506,0.34750911300121506,0.3478787878787879,0.3474576271186441,0.34757275080021544,0.00015431232219401302
24,0.033315515518188475,0.010967193703482148,0.00019979476928710938,0.00039958953857421875,10.0,"(6, 6, 6)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 7}",0.4251207729468599,0.4251207729468599,0.4251207729468599,0.4292682926829268,0.4264705882352941,0.4262135922330097,0.0016094382569135867,29,0.4264884568651276,0.4264884568651276,0.4264884568651276,0.4254545454545455,0.4261501210653753,0.4262140074230608,0.0004017042287733152
25,0.038936281204223634,0.007528942451514192,0.00019392967224121093,0.0003878593444824219,10.0,"(6, 6, 6)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 8}",0.38164251207729466,0.2608695652173913,0.357487922705314,0.35121951219512193,0.3431372549019608,0.3388349514563107,0.04115841900890836,925,0.3560145808019441,0.2648845686512758,0.362089914945322,0.36848484848484847,0.3365617433414044,0.33760713124495895,0.0378981220244997
26,0.036291980743408205,0.0072566587872604,0.0032304763793945313,0.006213988559619658,10.0,"(6, 6, 6)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6), 'km__n_components': 9}",0.4251207729468599,0.4251207729468599,0.4251207729468599,0.4292682926829268,0.4264705882352941,0.4262135922330097,0.0016094382569135867,29,0.4264884568651276,0.4264884568651276,0.4264884568651276,0.4254545454545455,0.4261501210653753,0.4262140074230608,0.0004017042287733152
27,0.02638077735900879,0.006380139954328993,0.0,0.0,10.0,"(12,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (12,), 'km__n_components': 1}",0.4251207729468599,0.4251207729468599,0.4251207729468599,0.4292682926829268,0.4264705882352941,0.4262135922330097,0.0016094382569135867,29,0.4264884568651276,0.4264884568651276,0.4264884568651276,0.4254545454545455,0.4261501210653753,0.4262140074230608,0.0004017042287733152
28,0.030577754974365233,0.005026539793714141,0.0,0.0,10.0,"(12,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (12,), 'km__n_components': 2}",0.34782608695652173,0.33816425120772947,0.463768115942029,0.43902439024390244,0.4362745098039216,0.40485436893203886,0.051699933575716055,531,0.34750911300121506,0.39125151883353587,0.4155528554070474,0.39151515151515154,0.4261501210653753,0.3943957519644651,0.02710167506733613
29,0.022832489013671874,0.0071679893443420345,0.0,0.0,10.0,"(12,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (12,), 'km__n_components': 3}",0.3961352657004831,0.3188405797101449,0.4057971014492754,0.33658536585365856,0.38235294117647056,0.3679611650485437,0.034191986120599344,759,0.3572296476306197,0.34143377885783716,0.393681652490887,0.32242424242424245,0.39951573849878935,0.36285701198047515,0.029730293283050577
30,0.027425384521484374,0.0098863976657366,0.0,0.0,10.0,"(12,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (12,), 'km__n_components': 4}",0.3719806763285024,0.37681159420289856,0.45893719806763283,0.4292682926829268,0.4362745098039216,0.4145631067961165,0.03439412865127298,461,0.3985419198055893,0.41676792223572295,0.4204131227217497,0.3842424242424242,0.4225181598062954,0.4084967097623563,0.014794479538657599
